"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"C1";"";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";
"C7";"2.2uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";
"C8";"";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";
"C9";"";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";
"C10";"2.2uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";
"C11";"2.2uf";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";
"D1";"";"DIODE-SOD106-W";"SOD106-W";"DIODE";"";"";"";"";"";
"J1";"";"CONN_023.5MM-NO_SILK";"SCREWTERMINAL-3.5MM-2-NS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-08399";
"QF1";"8M10AHC49T";"8M10AHC49T";"HC49U";"Monolithic Crystal Filters";"";"";"unknown";"unknown";"";
"R1";"2k2";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";
"R2";"56k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";
"R3";"56k";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";
"R4";"2k2";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";
"R5";"2k2";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";
"R6";"2k2";"R-US_M1206";"M1206";"RESISTOR, American symbol";"";"";"";"";"";
"U$1";"TMS320F28020";"TMS320F28020";"LQFP-48";"";"";"";"";"";"";
"U2";"";"V_REG_LM1117SOT223";"SOT223";"Voltage Regulator LM1117";"";"";"";"";"VREG-08170";
"X1";"C-GRID-06-74099";"C-GRID-06-74099";"74099-06";"CONNECTOR";"";"";"unknown";"unknown";"";
"X2";"C-GRID-04-74099";"C-GRID-04-74099";"74099-04";"CONNECTOR";"";"";"unknown";"unknown";"";
"X3";"C-GRID-06-74099";"C-GRID-06-74099";"74099-06";"CONNECTOR";"";"";"unknown";"unknown";"";
"X4";"C-GRID-08-74099";"C-GRID-08-74099";"74099-08";"CONNECTOR";"";"";"unknown";"unknown";"";
"X5";"C-GRID-07-74099";"C-GRID-07-74099";"74099-07";"CONNECTOR";"";"";"unknown";"unknown";"";
"X6";"C-GRID-03-74099";"C-GRID-03-74099";"74099-03";"CONNECTOR";"";"";"unknown";"unknown";"";
"X7";"C-GRID-03-74099";"C-GRID-03-74099";"74099-03";"CONNECTOR";"";"";"unknown";"unknown";"";
"X8";"C-GRID-03-74099";"C-GRID-03-74099";"74099-03";"CONNECTOR";"";"";"unknown";"unknown";"";
"X9";"C-GRID-03-74099";"C-GRID-03-74099";"74099-03";"CONNECTOR";"";"";"unknown";"unknown";"";
